Rank,Moved Subtree,Taxa Count,SPR Move Count,% of SPR Moves,Tree Pair Count,Total Path Hops,Avg Path Hops,Total Path Length,Avg Path Length,Higher Than % of Recurrent Moved Subtrees,Split Indices,Signature
1,"Seq6, Seq10, Seq9",3,97,9.031657,97,194,2.000000,1.700760,0.017534,97.727273,4 5 6,"4,5,6"
2,"Seq57, Seq58, Seq59",3,91,8.472998,91,344,3.780220,2.006010,0.022044,95.454545,60 61 62,"60,61,62"
3,"Seq62, Seq65",2,91,8.472998,91,306,3.362637,1.871490,0.020566,93.181818,63 64,"63,64"
4,Seq112,1,91,8.472998,91,184,2.021978,1.100500,0.012093,90.909091,114,114
5,Seq53,1,81,7.541899,81,268,3.308642,1.893820,0.023380,88.636364,59,59
6,"Seq77, Seq82",2,73,6.797020,73,146,2.000000,2.358690,0.032311,86.363636,73 74,"73,74"
7,Seq61,1,59,5.493482,59,118,2.000000,1.322700,0.022419,84.090909,55,55
8,Seq12,1,44,4.096834,44,174,3.954545,2.166900,0.049248,81.818182,10,10
9,"Seq13, Seq14",2,44,4.096834,44,88,2.000000,1.389360,0.031576,79.545455,11 12,"11,12"
10,"Seq49, Seq50, Seq51, Seq55, Seq56, Seq54",6,43,4.003724,43,143,3.325581,0.918710,0.021365,77.272727,48 49 50 51 52 53,"48,49,50,51,52,53"
11,"Seq66, Seq67, Seq68, Seq72, Seq69, Seq70, Seq71",7,40,3.724395,40,308,7.700000,2.446230,0.061156,75.000000,65 66 67 68 69 70 71,"65,66,67,68,69,70,71"
12,"Seq78, Seq84",2,40,3.724395,40,80,2.000000,2.145770,0.053644,72.727273,77 78,"77,78"
13,Seq69,1,32,2.979516,32,66,2.062500,1.350260,0.042196,70.454545,69,69
14,Seq101,1,24,2.234637,24,227,9.458333,2.297590,0.095733,68.181818,101,101
15,"Seq60, Seq64",2,22,2.048417,22,44,2.000000,0.206610,0.009391,65.909091,57 58,"57,58"
16,"Seq52, Seq61, Seq63",3,21,1.955307,21,42,2.000000,0.174880,0.008328,63.636364,54 55 56,"54,55,56"
17,Seq63,1,20,1.862197,20,40,2.000000,0.438330,0.021917,61.363636,56,56
18,"Seq68, Seq72",2,18,1.675978,18,36,2.000000,0.629180,0.034954,59.090909,67 68,"67,68"
19,"Seq52, Seq61, Seq63, Seq60, Seq64, Seq53",6,16,1.489758,16,40,2.500000,0.225010,0.014063,56.818182,54 55 56 57 58 59,"54,55,56,57,58,59"
20,"Seq113, Seq118",2,13,1.210428,13,26,2.000000,0.154760,0.011905,54.545455,115 116,"115,116"
21,"Seq27, Seq28",2,12,1.117318,12,24,2.000000,0.262070,0.021839,52.272727,44 45,"44,45"
22,"Seq100, Seq105, Seq106",3,10,0.931099,10,123,12.300000,1.455900,0.145590,50.000000,98 99 100,"98,99,100"
23,"Seq114, Seq115",2,10,0.931099,10,20,2.000000,0.105550,0.010555,47.727273,117 118,"117,118"
24,"Seq25, Seq30, Seq29",3,8,0.744879,8,16,2.000000,0.212400,0.026550,45.454545,39 40 41,"39,40,41"
25,Seq32,1,8,0.744879,8,16,2.000000,0.165720,0.020715,43.181818,46,46
26,"Seq104, Seq107, Seq109, Seq121, Seq122, Seq108, Seq123, Seq110, Seq111, Seq119, Seq112, Seq113, Seq118, Seq114, Seq115, Seq116, Seq117, Seq120",18,8,0.744879,8,39,4.875000,0.461790,0.057724,40.909091,104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121,"104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121"
27,"Seq49, Seq50, Seq51, Seq55",4,7,0.651769,7,14,2.000000,0.092780,0.013254,38.636364,48 49 50 51,"48,49,50,51"
28,"Seq20, Seq22, Seq21, Seq23",4,6,0.558659,6,34,5.666667,0.245910,0.040985,36.363636,18 19 20 21,"18,19,20,21"
29,Seq81,1,6,0.558659,6,12,2.000000,0.207830,0.034638,34.090909,75,75
30,Seq100,1,6,0.558659,6,12,2.000000,0.197410,0.032902,31.818182,98,98
31,"Seq102, Seq103",2,5,0.465549,5,20,4.000000,0.222720,0.044544,29.545455,102 103,"102,103"
32,"Seq20, Seq22, Seq21, Seq23, Seq35, Seq36, Seq37, Seq38, Seq44, Seq39, Seq40, Seq41, Seq42, Seq46, Seq47, Seq43, Seq45, Seq48, Seq73",19,4,0.372439,4,8,2.000000,0.057400,0.014350,27.272727,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36,"18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36"
33,Seq52,1,4,0.372439,4,8,2.000000,0.084870,0.021218,25.000000,54,54
34,Seq57,1,4,0.372439,4,14,3.500000,0.101830,0.025458,22.727273,60,60
35,"Seq15, Seq16",2,3,0.279330,3,16,5.333333,0.183380,0.061127,20.454545,13 14,"13,14"
36,Seq118,1,3,0.279330,3,8,2.666667,0.082340,0.027447,18.181818,116,116
37,Seq56,1,2,0.186220,2,4,2.000000,0.032470,0.016235,15.909091,52,52
38,Seq113,1,2,0.186220,2,8,4.000000,0.072180,0.036090,13.636364,115,115
39,"Seq1, Seq2, Seq3, Seq5, Seq6, Seq10, Seq9, Seq7, Seq11, Seq8, Seq12, Seq13, Seq14, Seq15, Seq16, Seq17, Seq18, Seq19, Seq20, Seq22, Seq21, Seq23, Seq35, Seq36, Seq37, Seq38, Seq44, Seq39, Seq40, Seq41, Seq42, Seq46, Seq47, Seq43, Seq45, Seq48, Seq73, Seq24, Seq33, Seq25, Seq30, Seq29, Seq31, Seq26, Seq27, Seq28, Seq32, Seq34, Seq49, Seq50, Seq51, Seq55, Seq56, Seq54, Seq52, Seq61, Seq63, Seq60, Seq64, Seq53, Seq57, Seq58, Seq59, Seq62, Seq65, Seq66, Seq67, Seq68, Seq72, Seq69, Seq70, Seq71, Seq74, Seq77, Seq82, Seq81, Seq75, Seq78, Seq84, Seq76, Seq79, Seq80, Seq83, Seq85, Seq87, Seq86, Seq88, Seq89, Seq91, Seq90, Seq92, Seq93, Seq98, Seq94, Seq95, Seq96, Seq97, Seq99, Seq4",99,1,0.093110,1,10,10.000000,0.089650,0.089650,11.363636,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 124,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,124"
40,"Seq17, Seq18, Seq19",3,1,0.093110,1,2,2.000000,0.028060,0.028060,9.090909,15 16 17,"15,16,17"
41,"Seq52, Seq61, Seq63, Seq60, Seq64, Seq53, Seq57, Seq58, Seq59",9,1,0.093110,1,2,2.000000,0.009690,0.009690,6.818182,54 55 56 57 58 59 60 61 62,"54,55,56,57,58,59,60,61,62"
42,"Seq58, Seq59",2,1,0.093110,1,6,6.000000,0.034100,0.034100,4.545455,61 62,"61,62"
43,Seq68,1,1,0.093110,1,2,2.000000,0.051980,0.051980,2.272727,67,67
44,"Seq100, Seq105, Seq106, Seq101",4,1,0.093110,1,10,10.000000,0.091390,0.091390,0.000000,98 99 100 101,"98,99,100,101"
